,collocate,raw_frequency,MI
2171,interview.,86,4.962052351671969
2172,said:,2420,2.31802400933469
2173,“Tut!,1,9.416399647925477
2174,Tut,1,9.416399647925477
2175,!,235,3.9568141337813176
2176,Léonie.,5,7.8069617354913765
2177,"tall,",351,3.555613424459611
2178,"sandy,",11,7.018504375127106
2179,much-liked,1,9.416399647925477
2180,”,1,9.416399647925477
2181,beneath,1153,2.3662771276564176
2182,station;,29,6.049103817939002
2183,"Wapshot,",4,8.030105286805586
2184,divinity's,2,8.723252467365532
2185,"lady,",1315,2.234807703313612
2186,waiting.,135,4.511124869487047
2187,lawyer,305,4.3892350518780106
2188,"Clavering,",146,4.432793026217141
2189,second-hand,43,5.655199532231914
2190,defunct,14,6.777342318310218
2191,tossing,209,4.074065395960666
2192,it;,2304,2.7726099147778047
2193,bed,1433,3.5351685812171953
2194,fever.,76,5.085666307639146
2195,treated,605,3.011171189894635
2196,medicamented,1,9.416399647925477
2197,ordained:,1,9.416399647925477
2198,deuce,165,4.310454174024896
2199,live,2802,2.17145810158847
2200,"General,",98,4.831432169254905
2201,times.,263,3.8442456157477123
2202,Rockminster's,11,7.018504375127106
2203,nurse,524,3.84805514416438
2204,day.,1486,2.1125564226477724
2205,You,10427,0.857392953695829
2206,etc.,134,4.518559847974565
2207,"etc.'""",1,9.416399647925477
2208,reading,1060,2.4503754608193637
2209,Times.,20,6.420667374371486
2210,fine,2916,2.1315787353568734
2211,"fortune,""",18,6.5260278900293125
2212,announced,362,3.524755436099706
2213,"to-night,",342,3.581588910862872
2214,"hey,",13,6.85145029046394
2215,dry.,48,5.545198637017586
2216,d,256,3.8712222034459143
2217,wonderful,1117,2.397997848856276
2218,s,2415,2.7255573705069134
2219,fast.,129,4.556587243563804
2220,Betty!,3,8.317787359257368
2221,Does,260,3.855718016909949
2222,quarter,682,2.8913699900820147
2223,hour.,368,3.5083167097565457
2224,"car,",80,5.034373013251595
2225,its,12676,1.0675462157827753
2226,lights,525,3.153001385333853
2227,double,438,3.3341807375490307
2228,"nurse,",150,4.4057643538292215
2229,surely,904,3.302717468093246
2230,seeing.,13,6.85145029046394
2231,"Opiate,",1,9.416399647925477
2232,"stay,",152,4.392519127079201
2233,Dinny.,81,5.715097673812983
2234,Happy,58,5.355956637379058
2235,release.,26,6.158303109903994
2236,Benjy!,2,8.723252467365532
2237,pressed,947,3.2562477352993437
2238,quarters,202,4.108131950524272
2239,"weather,",182,4.212392960848681
2240,resolution.,60,5.322055085703376
2241,military,325,4.325721646155684
2242,"domestic,",17,6.583186303869261
2243,"too.""",223,4.702375057025304
2244,"""Harry",21,6.3718772102020536
2245,"worlds,",30,6.015202266263321
2246,dear!,228,3.987054018971036
2247,absolute,329,3.620341897160105
2248,"quiet,",465,3.2743622423381207
2249,Aesculapius,1,9.416399647925477
2250,laughingly,42,5.678730029642108
2251,ravenously,2,8.723252467365532
2252,"hungry,",98,4.831432169254905
2253,permitted,318,3.6543482651453
2254,straightway,132,4.533597725339106
2255,partake,50,5.504376642497331
2256,rightly:,2,8.723252467365532
2257,"but,",1206,3.419947559306456
2258,unpleasant,311,4.369753916306188
2259,"scrape,'",2,8.723252467365532
2260,"eyes,",2738,1.5014166420770825
2261,cut,1640,2.013948127107233
2262,bottle,464,3.2765150956992217
2263,next,4341,2.426833993745774
2264,fetched;,1,9.416399647925477
2265,unless,1287,2.25633044032935
2266,man;,468,3.26793135200783
2267,"holiday,",72,5.139733528909422
2268,pang?,1,9.416399647925477
2269,sought,695,3.56563498292063
2270,interview,625,3.671795178749021
2271,poured,457,3.291716257031272
2272,comfort,989,2.5197053163027645
2273,"inspections,",4,8.030105286805586
2274,casually,61,5.305525783752166
2275,me;,1650,2.7010162615907958
2276,me?,721,2.8357605106405277
2277,No.,398,4.123094823200985
2278,tears.,412,3.3953762985759504
2279,thus,2025,2.4962218489447827
2280,"Hampstead,""",1,9.416399647925477
2281,"Hetty,",153,4.385961726533041
2282,demurely.,18,6.5260278900293125
2283,pair.,41,5.702827581221169
2284,effected,69,5.182293143328217
2285,history.,140,4.474757225316172
2286,pipe,446,3.3160806959054128
2287,describe,302,3.705972630550607
2288,"ailments,",11,7.018504375127106
2289,confirmed,214,4.050423632903625
2290,opinion,1186,2.338058068367806
2291,"savings,",15,6.7083494468232665
2292,grudge,119,4.637276154813947
2293,fee:,1,9.416399647925477
2294,"plenty,",35,5.861051586436063
2295,Birkin.,188,4.179957685095528
2296,'A,507,3.1878886443342935
2297,taught,689,2.8811583769118183
2298,"me,'",255,3.875136102767051
2299,addressing,357,3.538663866145838
2300,"mother,",1632,2.0188381124014243
2301,struggled,198,4.128132617230942
2302,bring,2496,3.203392830870259
2303,"enough,",1081,3.123905010846214
2304,shy,267,3.8291509895252274
2305,self-mistrusting.,1,9.416399647925477
2306,humble,532,3.1397561585838325
2307,submissiveness.,2,8.723252467365532
2308,'Had,16,6.643810925685695
2309,you?',398,4.123094823200985
2310,son.,378,3.481505452305889
2311,'Winifred,3,8.317787359257368
2312,son,2006,3.4219395918376962
2313,died,1237,3.3945675642010986
2314,Christmas,263,3.8442456157477123
2315,Saturday,247,3.9070113112974996
2316,examine,235,4.6499613143412635
2317,"would,",511,3.1800300577217726
2318,"patient,",129,4.556587243563804
2319,"""Never",323,3.63874732470282
2320,"says,""",14,6.777342318310218
2321,landlady.,25,6.197523823057276
2322,Gregory,197,4.826343099747434
2323,her?,532,3.8329033391437775
2324,four,2046,1.7927577014139051
2325,pause.,294,3.732819880586795
2326,withdrew,265,3.8366698219392545
2327,pipe.,110,4.71591928213306
2328,"""Cospetto!""",8,7.336958106245641
2329,ladies,1562,2.0626773175258455
2330,"sometimes.""",44,6.325357194567161
2331,"schoolmaster,",23,6.280905431996327
2332,"divinity,",14,6.777342318310218
2333,excellent,739,3.9097140156453847
2334,Frank,604,3.0128254499906615
2335,"before,",1315,2.234807703313612
2336,"sir.""",566,4.176417858390404
2337,unprotected,24,6.238345817577531
2338,undiplomatic,3,8.317787359257368
2339,heart.,1142,3.474475546377631
2340,raised,1434,2.148176626765911
2341,"note,",205,4.093389668787069
2342,month,574,3.06377025160591
2343,"later.""",22,6.325357194567161
2344,seemed,11255,1.186444183252754
2345,reassured,71,5.1537197708841616
2346,"lane,",108,4.734268420801257
2347,sighed,401,4.115585401178853
2348,heavily.,69,5.875440323888163
2349,wiser,206,4.088523479135896
2350,pleasing,157,4.360153842577168
2351,Jackeymo;,3,8.317787359257368
2352,drawers,91,4.905540141408626
2353,suits,134,4.518559847974565
2354,usual,1407,2.167184590811088
2355,play;,42,5.678730029642108
2356,wonder,1807,1.9169763573332481
2357,"discontent,",25,6.197523823057276
2358,emblem,32,5.95066374512575
2359,wrong.',18,6.5260278900293125
2360,"Cospetto!""",3,8.317787359257368
2361,"deliberately,",59,5.338862204019757
2362,resting,395,3.437513883024355
2363,"around,",106,4.752960553813409
2364,seeing,2014,2.907133863315079
2365,Caucasian,2,8.723252467365532
2366,"races,",37,5.805481735281252
2367,elm-tree.,2,8.723252467365532
2368,"round,",761,3.4749134706237363
2369,perceived,624,2.980249279556049
2370,tranquil,149,4.412453341980018
2371,enjoying,249,3.898946751460769
2372,"pipe,",187,4.18529103107089
2373,cooling,53,5.446107734373355
2374,incarcerated,6,7.624640178697422
2375,transformed,69,5.182293143328217
2376,"found,",211,4.06454151444941
2377,conjoined,14,6.777342318310218
2378,direct,473,3.257304259433544
2379,appeal,384,3.46575709533775
2380,respecting,192,4.1589042758976955
2381,number,891,2.6240552204546677
2382,"hospitality,",48,5.545198637017586
2383,weekly,90,4.916589977595212
2384,pressing,389,3.4528203043070302
2385,solicitation,8,7.336958106245641
2386,foreign,723,3.5261376063266576
2387,postmark,14,6.777342318310218
2388,Tuesday,124,4.59611808232044
2389,morning.,838,3.378528728003339
2390,XVIII.,41,5.702827581221169
2391,Riccabocca's,55,5.409066462693006
2392,melancholy,635,2.9627746490327853
2393,brows.,75,5.098911534389166
2394,Nor,450,3.3071520651611115
2395,"he,",2337,1.6597763133866188
2396,namesake,19,6.471960668759037
2397,fervour.,20,6.420667374371486
2398,lent,232,3.9696622762591667
2399,injunctions,37,5.805481735281252
2400,"mouth.'""",1,9.416399647925477
2401,Little,445,3.3183253657592364
2402,wise,872,2.6456102240164974
2403,maxims,18,6.5260278900293125
2404,serious,978,2.5308899778906597
2405,meaning.,118,4.645715023459812
2406,compliments,168,4.292435668522218
2407,mortar:,1,9.416399647925477
2408,bricks,50,5.504376642497331
2409,supposed,1020,2.48884174164716
2410,things;,206,4.088523479135896
2411,probably,1377,2.881884329756767
2412,Laws,9,7.219175070589258
2413,Rickeybockey,13,6.85145029046394
2414,"physic,",10,7.113814554931431
2415,care,3509,1.2533132723422618
2416,Dale.,43,5.655199532231914
2417,noisily,16,6.643810925685695
2418,boast,177,4.240249915351647
2419,"lo,",45,5.6097371581551565
2420,stage-coach,10,7.113814554931431
2421,stopped!,4,8.030105286805586
2422,"bound,",110,4.71591928213306
2423,winter,540,3.124830508367157
2424,"Canada,",25,6.197523823057276
2425,"so.""",393,4.135737216616161
2426,"""Pooh,""",2,8.723252467365532
2427,quoth,262,3.84805514416438
2428,seven.,55,5.409066462693006
2429,"sleep,",376,4.179957685095528
2430,ear,485,3.2322507569879937
2431,"diploma,",1,9.416399647925477
2432,"courtesy.""",2,8.723252467365532
2433,DR.,45,5.6097371581551565
2434,MORGAN.,11,7.018504375127106
2435,waste,432,3.3479740596813667
2436,help.,179,4.229013842084722
2437,"girl,",1222,2.308155508193936
2438,patient,416,4.078861568224159
2439,"dies,""",3,8.317787359257368
2440,"""grief,",1,9.416399647925477
2441,trick,217,4.036502294385017
2442,spite,1317,2.926435126742141
2443,morning;,176,4.245915652887325
2444,"Morgan,",91,4.905540141408626
2445,her;,1855,1.8907596728839413
2446,address,578,3.0568257792530993
2447,nearest,455,3.9892494095344717
2448,"chemist's,",2,8.723252467365532
2449,"politely,",30,6.015202266263321
2450,"""Come",519,3.164495764759588
2451,"desk,",158,4.35380461489851
2452,apathy.,9,7.219175070589258
2453,Let,1565,2.060758544951223
2454,"it!""",551,3.104664838772562
2455,"majestically,",6,7.624640178697422
2456,remarking,62,5.289265262880385
2457,Morgan.,42,6.3718772102020536
2458,"""But,",298,3.7193061614200724
2459,"really,""",21,6.3718772102020536
2460,support,420,3.3761449366480627
2461,"her.""",814,2.7144392819229366
2462,tongue.,148,4.419187374161361
2463,"yesterday.""",47,5.566252046215419
2464,brushed,179,4.229013842084722
2465,"o'clock.""",37,5.805481735281252
2466,"Leonard,",271,4.507428007605721
2467,suppress,45,5.6097371581551565
2468,gained,435,3.341053616836793
2469,confidence,688,2.882610809992133
2470,rejection;,1,9.416399647925477
2471,involuntary,97,4.841688669422094
2472,step,1332,2.2219627968251423
2473,detained,121,4.620609102328736
2474,XV.,50,5.504376642497331
2475,wrote,1372,2.1923748396396463
2476,line,1165,2.355923281925676
2477,"had,",986,2.5227432933228413
2478,"promised,",56,5.391047957190327
2479,"all,",2845,2.1562284819249906
2480,learn,1052,3.151098435187767
2481,roaring,142,4.460572590324216
2482,ears.,263,3.8442456157477123
2483,"letter,",762,2.7804530922388304
2484,"letter!""",7,7.470489498870164
2485,placed,1197,2.3288259423675037
2486,Leonard's,155,4.37297453100623
2487,spoke,3410,1.2819320776479144
2488,"were,",1209,2.318850797310684
2489,"""Thank",527,3.1491990993841146
2490,"Heaven!""",26,6.158303109903994
2491,expect,1147,2.371494530796106
2492,"thanksgiving,",10,7.113814554931431
2493,proceeded,473,3.257304259433544
2494,"detail,",65,5.242012378029839
2495,Heaven,572,3.067260656545679
2496,moved,2008,1.8115051671138571
2497,answer.,653,2.9348225186490455
2498,"employed,",37,5.805481735281252
2499,"conduct,",120,4.628907905143431
2500,sum,547,3.1119508455034954
2501,"afford,",12,6.931492998137476
2502,"charges,",23,6.280905431996327
2503,Helen,923,2.588770413422625
2504,affection,637,2.9596299923533134
2505,thinks,849,3.7709527502822393
2506,rheumatism,26,6.158303109903994
2507,attacked,138,4.489145962768272
2508,scarcely,1787,2.621253313325994
2509,withstand,31,5.982412443440331
2510,"rank,",141,4.467639757547309
2511,"never!""",56,5.391047957190327
2512,railing,39,5.752838001795831
2513,inquired,575,3.0620296071281263
2514,carelessly,110,4.71591928213306
2515,instructions,173,4.263108053427698
2516,happy,2319,1.667508310669945
2517,"release!""",1,9.416399647925477
2518,endured,122,4.61237860319222
2519,recital,44,5.6322100140072155
2520,exemplary,45,5.6097371581551565
2521,Leonard.,73,5.125940206777086
2522,"lad,",311,3.6766067357462426
2523,"astonished,",47,5.566252046215419
2524,"""'t",3,8.317787359257368
2525,swallow,142,4.460572590324216
2526,"success,",149,4.412453341980018
2527,informed,533,3.1378782237596323
2528,coats,110,4.71591928213306
2529,left?,10,7.113814554931431
2530,"Stop""",1,9.416399647925477
2531,pulled,850,3.36431047900106
2532,check-string,1,9.416399647925477
2533,"""This",868,2.6502079332651265
2534,"me.""",1884,2.568394373349114
2535,garden,1162,2.3585017105136203
2536,gate,616,2.993152684391957
2537,"silence,",718,2.8399300788772526
2538,during,2116,1.7591168549472869
2539,"sighed,",138,4.489145962768272
2540,downstairs.,117,4.654225713127721
2541,foot,1309,2.2393808820155767
2542,"""Eh,",68,5.8900391233093154
2543,"Eh,",60,6.015202266263321
2544,bless,726,3.521996813660626
2545,"ye,",253,4.576157339757902
2546,thankful,301,3.709289383176601
2547,ye've,32,5.95066374512575
2548,glass.,201,4.113094739866401
2549,"keys,",54,5.4274156013612025
2550,papers.,119,4.637276154813947
2551,sipping,55,5.409066462693006
2552,"Frenchy.""",1,9.416399647925477
2553,sipped,70,5.861051586436063
2554,"reflected,",91,4.905540141408626
2555,asleep,412,3.3953762985759504
2556,much.,600,3.0194699927093307
2557,colour,773,2.7661205993380547
2558,tobacco,144,4.446586348349476
2559,ready,2319,1.667508310669945
2560,depart.,43,5.655199532231914
2561,"coffin,",36,5.832880709469367
2562,whisky,43,5.655199532231914
2563,fees,14,6.777342318310218
2564,"paid,",70,5.167904405876118
2565,sealed,189,4.174652632865834
2566,engagement,413,3.392952054964444
2567,cat.,44,5.6322100140072155
2568,We,5724,1.862588795917245
2569,came.,339,4.689011829213136
2570,treating,115,4.671467519562227
2571,dislocation.,2,8.723252467365532
2572,want,6569,1.319429935592949
2573,good.,583,3.0482124615749844
2574,gold-headed,8,7.336958106245641
2575,canes.,7,7.470489498870164
2576,"walked,",88,4.93906283344727
2577,needs,546,3.113780672180572
2578,wanting,360,3.530295616475321
2579,bed.,608,3.0062247659593098
2580,Pablo,8,7.336958106245641
2581,among,4172,1.0802488318048138
2582,soldiers.,46,5.587758251436382
2583,Kate,564,3.081345396427418
2584,men.,700,2.865319312882072
2585,finished,777,2.760959297557829
2586,temporary,218,4.031904585136388
2587,half,5050,1.5824033062160165
2588,open.,295,3.729424291585657
2589,closed,1265,2.273572246763856
2590,teeth,451,3.3049323084227984
2591,firmly,302,3.705972630550607
2592,shut.,62,5.289265262880385
2593,'Bring,17,6.583186303869261
2594,wind,1327,2.2257236135932694
2595,rain.,131,4.541202324724325
2596,chafed,72,5.139733528909422
2597,brow,395,3.437513883024355
2598,Carlota.,29,6.049103817939002
2599,obsequiousness,8,7.336958106245641
2600,"small,",383,3.468364658744831
2601,"terrible,",78,5.059690821235885
2602,mechanical,137,4.496418722097352
2603,noises.,10,7.113814554931431
2604,"hastening,",6,7.624640178697422
2605,nightdress,11,7.018504375127106
2606,Another,367,3.5110377998709064
2607,city.,125,4.5880859106231755
2608,knocking.,5,7.8069617354913765
2609,"time,",3330,1.9988192455109326
2610,Nowell's,58,5.355956637379058
2611,forbidden,146,5.125940206777086
2612,care.,232,3.9696622762591667
2613,fellow,1691,1.9833242990268964
2614,Cairo,11,7.018504375127106
2615,"think,",1107,3.5056030038849495
2616,fascinating,109,4.725051765696333
2617,be.,1058,2.4522640355072323
2618,Plain,28,6.084195137750273
2619,John,1877,1.878969611338968
2620,Saltram,188,4.179957685095528
2621,Marian's,130,4.548865197469895
2622,earnest,429,4.048089909557405
2623,pleading.,14,6.777342318310218
2624,"presently,",211,4.06454151444941
2625,obeyed,219,4.027327918108976
2626,"not,",2093,1.7700459254794771
2627,since,4861,0.9274001908800215
2628,near,3581,1.233002277927044
2629,"says,",521,3.16064960617211
2630,"""Very",729,2.8247259159168183
2631,ill;,57,5.373348380090927
2632,"fast,",200,4.11808228137744
2633,"says.""",55,5.409066462693006
2634,"""Eh?",12,6.931492998137476
2635,sending,355,3.544281858450061
2636,Essex,43,5.655199532231914
2637,"Street,",428,3.35727645234368
2638,finding,843,2.6794326899236216
2639,dreadful,806,2.7243159054188486
2640,"restless.""",4,8.030105286805586
2641,"""Does",270,3.817977688927102
2642,"case?""",18,6.5260278900293125
2643,wait,1332,2.2219627968251423
2644,talk,4333,1.0423842261855674
2645,"much,",847,2.674698953273422
2646,John.,179,4.229013842084722
2647,insists,40,5.72752019381154
2648,"tranquillity.""",2,8.723252467365532
2649,consider,844,2.6782471533295196
2650,recovery,95,4.862522756324936
2651,depends,166,4.304411859568933
2652,It's,1988,1.8215152607089573
2653,talk;,71,5.1537197708841616
2654,contagious.,7,7.470489498870164
2655,"state.""",12,6.931492998137476
2656,"gravely,",160,4.3412258326916495
2657,"surely,",124,4.59611808232044
2658,"summoned,",15,6.7083494468232665
2659,comes.,59,6.032009384579703
2660,There's,700,2.865319312882072
2661,"questions,",242,3.9274619217687903
2662,Malsham,33,5.919892086458996
2663,case,2000,1.8154971883833944
2664,Sowerberry!,1,9.416399647925477
2665,Both,343,3.578669200759537
2666,are!',31,5.982412443440331
2667,'I,5120,1.5686371104518686
2668,"dying,'",4,8.030105286805586
2669,before.,1052,2.4579512546278215
2670,"right,",962,2.5473851972597705
2671,"Oliver,",178,4.234616097633392
2672,clever,872,3.3387574045764423
2673,Brownlow,48,5.545198637017586
2674,drink,851,3.363134699912048
2675,hot,1152,2.3671448066696406
2676,wine,639,3.6496423741078874
2677,have?',7,7.470489498870164
2678,"week,",389,3.4528203043070302
2679,"says,'",9,7.219175070589258
2680,pursued,423,4.467639757547309
2681,Bumble.,51,5.484574015201151
2682,'He,623,2.9818531291380235
2683,too!',15,6.7083494468232665
2684,expecially,2,8.723252467365532
2685,troubled,538,3.1285410877636926
2686,explorer,6,7.624640178697422
2687,alive.,158,4.35380461489851
2688,"absent,",65,5.242012378029839
2689,longer,1688,1.9850999727695744
2690,aspect,499,3.2037935521739582
2691,"criminal,",29,6.049103817939002
2692,lady's,668,3.605258654948776
2693,"indeed,",2144,1.745971125734784
2694,kind-hearted,44,5.6322100140072155
2695,"intelligence,",128,4.564369384005859
2696,presence,1513,2.0945499341371208
2697,"mind,",1652,2.0066576938445535
2698,entered;,29,6.049103817939002
2699,"Brittles,",21,6.3718772102020536
2700,listen;,13,6.85145029046394
2701,keenly,179,4.229013842084722
2702,round;,81,5.021950493253038
2703,child's,408,3.405132473521315
2704,play.,165,4.310454174024896
2705,result,660,2.9241598129050055
2706,"experience,",236,3.952567842899867
2707,conveyed,209,4.074065395960666
2708,slipped,611,3.0013026887538814
2709,"door,",1785,1.9292259537117376
2710,"however,",2571,1.5643494406595875
2711,"parlour,",202,4.108131950524272
2712,'Stupid,1,9.416399647925477
2713,"this,'",45,5.6097371581551565
2714,himself;,307,3.6895519003382793
2715,'the,253,3.8830101591979562
2716,boy,2431,2.313488854169299
2717,time.',70,5.167904405876118
2718,'An,51,5.484574015201151
2719,"ass,'",3,8.317787359257368
2720,further,1796,2.616229579623277
2721,acted,447,3.313841053311908
2722,compose,79,5.0469517954584555
2723,"yourself,'",13,6.85145029046394
2724,supporting,105,4.762439297767953
2725,'Be,59,5.338862204019757
2726,"calm,",244,3.919231422632275
2727,exchanged,243,3.9233382045849283
2728,"communicated,",10,7.113814554931431
2729,reply,690,2.8797080503341714
2730,away;,301,4.402436563736546
2731,spirits;,40,5.72752019381154
2732,"observing,",11,7.018504375127106
2733,whenever,640,2.954931471571759
2734,"garden,",532,3.1397561585838325
2735,staggered,144,4.446586348349476
2736,little;,152,4.392519127079201
2737,"luggage,",46,5.587758251436382
2738,bustled,31,5.982412443440331
2739,regard,965,2.544271546586491
2740,protection.,58,5.355956637379058
2741,chaise;,4,8.030105286805586
2742,Giles,53,5.446107734373355
2743,conference,80,5.72752019381154
2744,subject.,347,3.5670748679786177
2745,solemn,603,3.0144824511982913
2746,afford,422,3.371394333889465
2747,idiot.',1,9.416399647925477
2748,"'Then,'",11,7.018504375127106
2749,"impetuously,",20,6.420667374371486
2750,done?',27,6.120562781921148
2751,'All,146,4.432793026217141
2752,"Bedwin,",7,7.470489498870164
2753,him:,488,3.2260842420723295
2754,Brownlow:,1,9.416399647925477
2755,people,6403,1.7504900270747843
2756,"people,",987,2.521729608491995
2757,"Chertsey,",6,7.624640178697422
2758,"where,",338,3.593353752442458
2759,bereft,30,6.015202266263321
2760,glibly,15,6.7083494468232665
2761,manner,2369,1.6461764437666913
2762,"accustomed,",15,6.7083494468232665
2763,"heavens!""",39,5.752838001795831
2764,murmured,716,2.8427194809648313
2765,again;,488,3.2260842420723295
2766,evidently,999,2.509644869276923
2767,alike,223,4.009227876465358
2768,admiration,484,3.2343147412088453
2769,"Abraham,",48,5.545198637017586
2770,"satisfaction,",138,4.489145962768272
2771,"hospital,",66,5.226744905899051
2772,eyes!,64,5.257516564565805
2773,lean,277,3.792382141738138
2774,"slow,",219,4.027327918108976
2775,cadaverous,15,6.7083494468232665
2776,board.,71,5.1537197708841616
2777,leads,185,4.196043822847152
2778,lustrous,58,5.355956637379058
2779,brings,273,3.806927852740517
2780,meagre,61,6.404138072420275
2781,remaining,344,3.5757579905520784
2782,tower,178,4.234616097633392
2783,second,2148,2.4372543728566667
2784,pack,209,4.074065395960666
2785,calculated,185,4.196043822847152
2786,losses.,14,6.777342318310218
2787,gains;,2,8.723252467365532
2788,audible,138,4.489145962768272
2789,dressed,807,2.723075979655528
2790,boots,323,3.63874732470282
2791,"Good-morning,",10,7.113814554931431
2792,Mr,2216,2.811552888726412
2793,"Bold;""",1,9.416399647925477
2794,stalked,63,5.273264921533944
2795,"drawing-room,",388,3.4553943083022034
2796,whole,4486,1.0076829328453232
2797,"transaction,",18,6.5260278900293125
2798,intended,764,2.7778318587589563
2799,truthful,61,5.305525783752166
2800,energetic.,8,7.336958106245641
2801,mistook,60,5.322055085703376
2802,signs,476,3.2509817936940566
2803,"did,",800,2.7317879202575495
2804,chose,532,3.8329033391437775
2805,remain,813,2.7156685383776664
2806,"short,",683,2.889904788354687
2807,feels,359,3.533077259437198
2808,affronted,9,7.219175070589258
2809,"does,",178,4.234616097633392
2810,recommended,177,4.240249915351647
2811,Winnipeg,3,8.317787359257368
2812,medicines.,7,7.470489498870164
2813,drank,529,3.145411216067177
2814,"tone,--",1,9.416399647925477
2815,"""Have",676,2.9002065718825127
2816,"""To",778,2.7596731237470853
2817,curious,1027,2.4820024379969183
2818,mental,488,3.2260842420723295
2819,symptoms.,11,7.018504375127106
2820,truly,474,3.2551923262304006
2821,learned,1162,2.3585017105136203
2822,"Sacramento,",2,8.723252467365532
2823,"token,",22,6.325357194567161
2824,belonged,480,3.2426135440235404
2825,increased,317,3.6574978740481963
2826,unreason.,3,8.317787359257368
2827,won,733,2.8192539460388253
2828,"deserved,",21,6.3718772102020536
2829,sad,1053,2.457001135791501
2830,"moments,",215,4.045761619797814
2831,damage,78,5.059690821235885
2832,"was,",3729,2.2911165564147655
2833,"dining-room,",130,4.548865197469895
2834,unbuttoning,6,7.624640178697422
2835,"lord,",463,3.278672593839243
2836,constable,51,5.484574015201151
2837,inside.,104,4.7720087487841045
2838,walk;,40,5.72752019381154
2839,magnetic,23,6.280905431996327
2840,"influence.""",6,7.624640178697422
2841,"that?""",607,3.0078708568659787
2842,"condition,",147,4.42596706114674
2843,Baden,21,6.3718772102020536
2844,here?,184,4.201463890316491
2845,"ailing,",15,6.7083494468232665
2846,privately,137,4.496418722097352
2847,watch,1269,2.270415180211089
2848,mother's,1494,2.1071872822327142
2849,scholar.,28,6.084195137750273
2850,wrong,1475,2.1199863791515567
2851,against,7514,1.185023602351508
2852,seriously,367,3.5110377998709064
2853,unimpressionable,8,7.336958106245641
2854,attends,37,5.805481735281252
2855,lose,1021,3.1810090103207567
2856,applied,213,4.0551074822160516
2857,"lotion,",1,9.416399647925477
2858,Count.,54,5.4274156013612025
2859,"lordship,",87,4.950491529270893
2860,approved,156,5.059690821235885
2861,mind.,1177,2.3456755406652
2862,Instead,190,4.169375575764991
2863,mule,25,6.197523823057276
2864,accept,893,2.621813067048978
2865,plainly,400,4.11808228137744
2866,remark,522,3.158732060042838
2867,alarmed,274,3.8032715415374065
2868,expression,1421,2.8504307003883214
2869,not.,1284,2.2586641636755704
2870,important,668,2.9121114743888312
2871,question,2331,2.355494189449665
2872,consent,449,3.3093767601832225
2873,wishes,491,3.219955520130956
2874,danger.,157,4.360153842577168
2875,"""She",1788,1.9275466921920172
2876,requires,129,4.556587243563804
2877,Count,446,3.3160806959054128
2878,disagreement,16,6.643810925685695
2879,actual,410,3.400242488227123
2880,necessity,533,3.1378782237596323
2881,nursing,123,4.604215292553059
2882,"being,",313,3.6701964573853236
2883,Halcombe,217,4.036502294385017
2884,insulted,124,4.59611808232044
2885,Rubelle,40,5.72752019381154
2886,station.,169,4.2865009330024035
2887,mistress,745,2.8030154295459173
2888,chances,302,3.705972630550607
2889,Just,689,2.8811583769118183
2890,that!,268,3.82541266741462
2891,"forenoon,",15,6.7083494468232665
2892,luck,356,3.5414689170734466
2893,fainted,53,5.446107734373355
2894,"moment.""",91,4.905540141408626
2895,"not.""",259,3.859571586225939
2896,"minute,",269,3.821688268323638
2897,innocent,714,2.8455166855858924
2898,servants,664,2.918117498449043
2899,"certainly,",147,4.42596706114674
2900,St.,1117,2.397997848856276
2901,John's,152,4.392519127079201
2902,"Wood,",56,5.391047957190327
2903,introducing,74,5.112334554721307
2904,series,190,4.169375575764991
2905,"difficulties,",60,5.322055085703376
2906,trust,1369,2.8877110031969733
2907,Oak,234,3.9610785325677753
2908,Lodge,29,6.049103817939002
2909,directed,331,3.6142812725484137
2910,follow,1226,2.30488753142932
2911,wherever,308,3.6862998649519025
2912,happen,691,2.878259824157807
2913,Dawson's,28,6.084195137750273
2914,"kindness,",185,4.196043822847152
2915,warmly,126,4.580117740973999
2916,free,1474,2.1206645751761948
2917,"excuse,",54,5.4274156013612025
2918,circumstances.,159,4.3474954457052455
2919,interfered,75,5.098911534389166
2920,feet.,515,3.1722327472617406
2921,steps.,148,4.419187374161361
2922,return,2119,1.7577000896571777
2923,officiously,9,7.219175070589258
2924,undertaken,81,5.021950493253038
2925,world-wide,8,7.336958106245641
2926,around,1272,2.2680539040254093
2927,orderly.,4,8.030105286805586
2928,"illness,",155,4.37297453100623
2929,inflammation,21,6.3718772102020536
2930,angry.,151,4.399119811110553
2931,aunt,788,2.7469015580675977
2932,t',1285,2.951032831156102
2933,Monkshaven,104,4.7720087487841045
2934,"life,",2580,1.5608549700098138
2935,fears,292,3.739645845657195
2936,bleeding,100,4.811229461937385
2937,i',580,3.0533715443850116
2938,inside;,14,6.777342318310218
2939,"Wesley,",8,7.336958106245641
2940,"then,",3760,1.1842254115415367
2941,'Wesley,1,9.416399647925477
2942,delivered.,14,6.777342318310218
2943,Even,1138,2.3793720332392003
2944,recollection,259,3.859571586225939
2945,'Has,42,5.678730029642108
2946,cousin,930,2.5812150617781753
2947,him?',119,4.637276154813947
2948,"'Ay,",89,4.927763278193337
2949,dying,586,3.0430798583484644
2950,"creature,",391,3.4476920879401107
2951,anyhow.,46,5.587758251436382
2952,T',22,7.018504375127106
2953,astonishing,159,4.3474954457052455
2954,hour,2862,1.4571236878090807
