,collocate,raw_frequency,MI
1609,him;,2212,2.8133595739513613
1610,"after,",253,3.8830101591979562
1611,back;,188,4.179957685095528
1612,splendidly,52,5.465155929344049
1613,"behaved,",19,6.471960668759037
1614,flogged,26,6.158303109903994
1615,school,722,2.8343745090326506
1616,calling,757,2.787036394488028
1617,sneak;,2,8.723252467365532
1618,"how,",251,3.890946708793693
1619,licked,52,5.465155929344049
1620,"twice,",166,4.304411859568933
1621,bad,2271,3.074718466939809
1622,way;,348,3.5641971681510025
1623,"Gill.""",2,8.723252467365532
1624,"complaint?""",1,9.416399647925477
1625,WAIFE.,47,5.566252046215419
1626,"fever.""",12,6.931492998137476
1627,months?,8,7.336958106245641
1628,three?,8,7.336958106245641
1629,long?,27,6.120562781921148
1630,charge,737,2.81381175573614
1631,"much.""",165,4.310454174024896
1632,HARTOPP.,16,6.643810925685695
1633,bit,1791,1.925870245864765
1634,myself.,931,3.9664347317683
1635,Every,704,2.8596212917674344
1636,blest,61,5.305525783752166
1637,"to-morrow.""",157,4.360153842577168
1638,"returned,",384,4.564369384005859
1639,Waife,312,3.6733964601159945
1640,me!',115,4.671467519562227
1641,Any,246,3.911068111993114
1642,"given.""",4,8.030105286805586
1643,Lady,7396,1.893999416538352
1644,Montfort,178,4.234616097633392
1645,alertness,12,6.931492998137476
1646,it.',515,3.1722327472617406
1647,Yet,1570,2.057568749583123
1648,village,875,3.3353229421278074
1649,"Ipley,",1,9.416399647925477
1650,journey,764,3.876444147427066
1651,"London,",1040,3.568035944458168
1652,Carthew,11,7.018504375127106
1653,summoned,270,4.916589977595212
1654,remorseful,38,5.778813488199091
1655,woman,6410,0.650785098010761
1656,incredible.,28,6.084195137750273
1657,delay.,103,4.781670659695841
1658,go.,705,2.858201845113208
1659,bush,130,5.242012378029839
1660,confirm,103,4.781670659695841
1661,book,1318,2.9256761134229694
1662,Edinburgh,32,5.95066374512575
1663,serviceable,43,5.655199532231914
1664,"boy,'",29,6.049103817939002
1665,'Our,44,5.6322100140072155
1666,promises,124,4.59611808232044
1667,ride,665,2.916612607269623
1668,mother.',27,6.120562781921148
1669,'The,1096,3.5155894690856258
1670,soon,4526,2.3851001828518847
1671,arrive.',5,7.8069617354913765
1672,poison,152,4.392519127079201
1673,"true,",640,2.954931471571759
1674,home.,1009,3.5982969162399776
1675,"more,",1404,2.8624662438996658
1676,she'll,352,4.93906283344727
1677,order,1805,1.9180837771584955
1678,"cabin,",55,5.409066462693006
1679,attended,342,4.274736091422817
1680,zeal,98,4.831432169254905
1681,captain,495,3.9049890659167317
1682,handsome,1108,2.4060877806182477
1683,recompense,26,6.158303109903994
1684,"back?""",80,5.034373013251595
1685,Stewart.,14,6.777342318310218
1686,"""Ay,",195,4.14340008936173
1687,presentation,47,5.566252046215419
1688,likely,1680,2.6829977560881173
1689,"afterwards,",403,3.417463085978794
1690,may,12011,2.220046049707206
1691,"dead.""",99,4.821279797790887
1692,bent,1340,2.2159747549805195
1693,down.,1039,3.1635328373861946
1694,five,2101,1.7662309470804765
1695,colossal,54,5.4274156013612025
1696,"difficulties,""",4,8.030105286805586
1697,quietly;,42,5.678730029642108
1698,"""like",34,5.8900391233093154
1699,high,3102,2.4752095928571025
1700,walls,688,2.882610809992133
1701,within,2964,1.4221046615094994
1702,ears;,41,5.702827581221169
1703,impetuous,76,5.085666307639146
1704,practicality,2,8.723252467365532
1705,Commandant,15,6.7083494468232665
1706,staring,635,2.9627746490327853
1707,Father,739,3.9097140156453847
1708,"fell.""",4,8.030105286805586
1709,"""Well,""",447,3.313841053311908
1710,"slowly,",510,3.875136102767051
1711,"""that",1397,2.174317288668515
1712,plausible,46,5.587758251436382
1713,elegant,253,3.8830101591979562
1714,suddenly.,202,4.108131950524272
1715,touch,1446,2.139843245206767
1716,mean.,166,4.304411859568933
1717,inquiring,109,4.725051765696333
1718,epidemic,3,8.317787359257368
1719,"asks,",24,6.238345817577531
1720,"present.""",73,5.125940206777086
1721,Quinton's,10,7.113814554931431
1722,"study,",186,4.190652974212275
1723,"""See",101,4.801279131084217
1724,Mr.,26234,2.014176811790167
1725,"Quinton?""",1,9.416399647925477
1726,coolly.,41,5.702827581221169
1727,trying,1403,2.8631787483829614
1728,affectionately,72,5.139733528909422
1729,capture,76,5.085666307639146
